Kind=Let, spelling="let"
Kind=Const, spelling="const"
Kind=Identifier, spelling="MAX"
Kind=Is, spelling="~"
Kind=IntLiteral, spelling="10"
Kind=Semicolon, spelling=";"
Kind=Var, spelling="var"
Kind=Identifier, spelling="numberUnder11"
Kind=Colon, spelling=":"
Kind=Identifier, spelling="Integer"
Kind=In, spelling="in"
Kind=Begin, spelling="begin"
Kind=Identifier, spelling="numberUnder11"
Kind=Becomes, spelling=":="
Kind=IntLiteral, spelling="6"
Kind=Semicolon, spelling=";"
Kind=If, spelling="if"
Kind=Identifier, spelling="numberUnder11"
Kind=Operator, spelling=">"
Kind=IntLiteral, spelling="0"
Kind=Then, spelling="then"
Kind=If, spelling="if"
Kind=Identifier, spelling="numberUnder11"
Kind=Operator, spelling="<"
Kind=Operator, spelling="="
Kind=Identifier, spelling="MAX"
Kind=Then, spelling="then"
Kind=While, spelling="while"
Kind=Identifier, spelling="numberUnder11"
Kind=Operator, spelling=">"
Kind=IntLiteral, spelling="0"
Kind=Do, spelling="do"
Kind=Begin, spelling="begin"
Kind=Identifier, spelling="putint"
Kind=LeftBracket, spelling="("
Kind=Identifier, spelling="numberUnder11"
Kind=RightBracket, spelling=")"
Kind=Semicolon, spelling=";"
Kind=Identifier, spelling="put"
Kind=LeftBracket, spelling="("
Kind=CharLiteral, spelling="','"
Kind=RightBracket, spelling=")"
Kind=Semicolon, spelling=";"
Kind=Identifier, spelling="put"
Kind=LeftBracket, spelling="("
Kind=CharLiteral, spelling="' '"
Kind=RightBracket, spelling=")"
Kind=Semicolon, spelling=";"
Kind=Identifier, spelling="numberUnder11"
Kind=Becomes, spelling=":="
Kind=Identifier, spelling="numberUnder11"
Kind=Operator, spelling="-"
Kind=IntLiteral, spelling="1"
Kind=End, spelling="end"
Kind=Else, spelling="else"
Kind=Begin, spelling="begin"
Kind=Identifier, spelling="put"
Kind=LeftBracket, spelling="("
Kind=CharLiteral, spelling="'e'"
Kind=RightBracket, spelling=")"
Kind=Semicolon, spelling=";"
Kind=Identifier, spelling="put"
Kind=LeftBracket, spelling="("
Kind=CharLiteral, spelling="'r'"
Kind=RightBracket, spelling=")"
Kind=Semicolon, spelling=";"
Kind=Identifier, spelling="put"
Kind=LeftBracket, spelling="("
Kind=CharLiteral, spelling="'r'"
Kind=RightBracket, spelling=")"
Kind=Semicolon, spelling=";"
Kind=Identifier, spelling="put"
Kind=LeftBracket, spelling="("
Kind=CharLiteral, spelling="'o'"
Kind=RightBracket, spelling=")"
Kind=Semicolon, spelling=";"
Kind=Identifier, spelling="put"
Kind=LeftBracket, spelling="("
Kind=CharLiteral, spelling="'r'"
Kind=RightBracket, spelling=")"
Kind=Semicolon, spelling=";"
Kind=Identifier, spelling="put"
Kind=LeftBracket, spelling="("
Kind=CharLiteral, spelling="' '"
Kind=RightBracket, spelling=")"
Kind=Semicolon, spelling=";"
Kind=Identifier, spelling="put"
Kind=LeftBracket, spelling="("
Kind=CharLiteral, spelling="'1'"
Kind=RightBracket, spelling=")"
Kind=End, spelling="end"
Kind=Else, spelling="else"
Kind=Begin, spelling="begin"
Kind=Identifier, spelling="put"
Kind=LeftBracket, spelling="("
Kind=CharLiteral, spelling="'e'"
Kind=RightBracket, spelling=")"
Kind=Semicolon, spelling=";"
Kind=Identifier, spelling="put"
Kind=LeftBracket, spelling="("
Kind=CharLiteral, spelling="'r'"
Kind=RightBracket, spelling=")"
Kind=Semicolon, spelling=";"
Kind=Identifier, spelling="put"
Kind=LeftBracket, spelling="("
Kind=CharLiteral, spelling="'r'"
Kind=RightBracket, spelling=")"
Kind=Semicolon, spelling=";"
Kind=Identifier, spelling="put"
Kind=LeftBracket, spelling="("
Kind=CharLiteral, spelling="'o'"
Kind=RightBracket, spelling=")"
Kind=Semicolon, spelling=";"
Kind=Identifier, spelling="put"
Kind=LeftBracket, spelling="("
Kind=CharLiteral, spelling="'r'"
Kind=RightBracket, spelling=")"
Kind=Semicolon, spelling=";"
Kind=Identifier, spelling="put"
Kind=LeftBracket, spelling="("
Kind=CharLiteral, spelling="' '"
Kind=RightBracket, spelling=")"
Kind=Semicolon, spelling=";"
Kind=Identifier, spelling="put"
Kind=LeftBracket, spelling="("
Kind=CharLiteral, spelling="'2'"
Kind=RightBracket, spelling=")"
Kind=End, spelling="end"
Kind=End, spelling="end"
Kind=EndOfText, spelling=""
